metric,baseline,winner,delta,direction,improved
net_pnl,11431.41,11599.38,167.96999999999935,HIGHER_IS_BETTER,True
profit_factor,1.4998,1.5115,0.011700000000000044,HIGHER_IS_BETTER,True
max_drawdown_pct,7.938,7.9437,0.005700000000000038,LOWER_IS_BETTER,False
trades,340.0,333.0,-7.0,HIGHER_IS_BETTER,False
win_rate,0.5647,0.5676,0.0029000000000000137,HIGHER_IS_BETTER,True
positive_months,46.0,47.0,1.0,HIGHER_IS_BETTER,True
negative_months,25.0,24.0,-1.0,LOWER_IS_BETTER,True
stress_pass_count,15.0,15.0,0.0,HIGHER_IS_BETTER,False
combined_adverse_pnl,4323.12,6143.51,1820.39,HIGHER_IS_BETTER,True
