system,scenario,net_pnl,profit_factor,max_drawdown_pct,trades,verdict
P37_CAND_0361,stale cancel,7124.09,1.2624,13.2073,367,PASS
P37_CAND_0361,partial fill,10248.45,1.4104,11.1854,386,PASS
P37_CAND_0361,high funding,6176.84,1.2122,21.5165,386,PASS
P37_CAND_0361,combined adverse,-30798.57,0.297,299.6697,348,FAIL
P37_CAND_0303,normal,10617.09,1.4259,8.907,366,PASS
P37_CAND_0303,double fees,-6973.11,0.7862,75.3682,366,FAIL
P37_CAND_0303,triple fees,-24563.32,0.3992,242.129,366,FAIL
P37_CAND_0303,double slippage,-6973.11,0.7862,75.3682,366,FAIL
P37_CAND_0303,triple slippage,-24563.32,0.3992,242.129,366,FAIL
P37_CAND_0303,double fees + double slippage,-24563.32,0.3992,242.129,366,FAIL
P37_CAND_0303,delay 1 candle,1821.99,1.0634,22.5677,366,PASS
P37_CAND_0303,delay 2 candles,-6973.11,0.7862,75.3682,366,FAIL
P37_CAND_0303,missed fills 10%,10123.44,1.4569,10.9492,330,PASS
P37_CAND_0303,missed fills 20%,8937.54,1.4527,9.8503,293,PASS
P37_CAND_0303,missed fills 30%,7229.1,1.4355,10.7796,244,PASS
P37_CAND_0303,stale cancel,7659.97,1.3103,14.5298,348,PASS
P37_CAND_0303,partial fill,9820.81,1.4259,8.5204,366,PASS
P37_CAND_0303,high funding,6155.92,1.2299,15.8472,366,PASS
P37_CAND_0303,combined adverse,-29508.5,0.2805,291.447,330,FAIL
P37_CAND_0412,normal,10514.07,1.4732,7.7896,329,PASS
P37_CAND_0412,double fees,-4765.91,0.8349,54.1445,329,FAIL
P37_CAND_0412,triple fees,-20045.89,0.4405,197.36,329,FAIL
P37_CAND_0412,double slippage,-4765.91,0.8349,54.1445,329,FAIL
P37_CAND_0412,triple slippage,-20045.89,0.4405,197.36,329,FAIL
P37_CAND_0412,double fees + double slippage,-20045.89,0.4405,197.36,329,FAIL
P37_CAND_0412,delay 1 candle,2874.08,1.1126,17.0458,329,PASS
P37_CAND_0412,delay 2 candles,-4765.91,0.8349,54.1445,329,FAIL
P37_CAND_0412,missed fills 10%,10498.8,1.5313,6.2711,297,PASS
P37_CAND_0412,missed fills 20%,8708.0,1.4901,8.2941,264,PASS
P37_CAND_0412,missed fills 30%,8772.95,1.6205,7.4379,220,PASS
P37_CAND_0412,stale cancel,6575.46,1.2893,8.8789,313,PASS
P37_CAND_0412,partial fill,9725.51,1.4732,7.4563,329,PASS
P37_CAND_0412,high funding,6109.16,1.2537,11.7505,329,PASS
P37_CAND_0412,combined adverse,-23985.32,0.3235,236.8618,297,FAIL
P37_CAND_0142,normal,9987.03,1.4037,7.35,354,PASS
P37_CAND_0142,double fees,-6663.73,0.7929,69.995,354,FAIL
P37_CAND_0142,triple fees,-23314.49,0.4183,228.2816,354,FAIL
P37_CAND_0142,double slippage,-6663.73,0.7929,69.995,354,FAIL
P37_CAND_0142,triple slippage,-23314.49,0.4183,228.2816,354,FAIL
P37_CAND_0142,double fees + double slippage,-23314.49,0.4183,228.2816,354,FAIL
P37_CAND_0142,delay 1 candle,1661.65,1.0584,23.5213,354,PASS
P37_CAND_0142,delay 2 candles,-6663.73,0.7929,69.995,354,FAIL
P37_CAND_0142,missed fills 10%,9972.5,1.4561,6.8006,319,PASS
P37_CAND_0142,missed fills 20%,6653.85,1.3244,10.3545,284,PASS
P37_CAND_0142,missed fills 30%,7645.34,1.4886,6.2892,236,PASS
P37_CAND_0142,stale cancel,6875.14,1.2784,9.5248,337,PASS
P37_CAND_0142,partial fill,9238.0,1.4037,7.0389,354,PASS
P37_CAND_0142,high funding,5447.79,1.2044,13.1676,354,PASS
P37_CAND_0142,combined adverse,-27479.61,0.3089,271.4179,319,FAIL
P37_CAND_0001,normal,9953.59,1.2529,13.9171,543,PASS
P37_CAND_0001,double fees,-15807.03,0.6916,158.1837,543,FAIL
P37_CAND_0001,triple fees,-41567.64,0.3505,402.7892,543,FAIL
P37_CAND_0001,double slippage,-15807.03,0.6916,158.1837,543,FAIL
P37_CAND_0001,triple slippage,-41567.64,0.3505,402.7892,543,FAIL
P37_CAND_0001,double fees + double slippage,-41567.64,0.3505,402.7892,543,FAIL
P37_CAND_0001,delay 1 candle,-2926.72,0.9354,52.0297,543,FAIL
P37_CAND_0001,delay 2 candles,-15807.03,0.6916,158.1837,543,FAIL
P37_CAND_0001,missed fills 10%,7242.37,1.2,18.7068,489,PASS
P37_CAND_0001,missed fills 20%,5634.78,1.1727,16.4517,435,PASS
P37_CAND_0001,missed fills 30%,11890.13,1.5007,10.231,362,PASS
P37_CAND_0001,stale cancel,3512.12,1.0875,24.6358,516,PASS
P37_CAND_0001,partial fill,9207.07,1.2529,13.3385,543,PASS
P37_CAND_0001,high funding,2916.47,1.0692,26.89,543,PASS
P37_CAND_0001,combined adverse,-50677.16,0.2352,498.2295,489,FAIL
P37_CAND_0411,normal,9937.28,1.4253,7.7941,343,PASS
P37_CAND_0411,double fees,-5885.77,0.8067,64.4771,343,FAIL
P37_CAND_0411,triple fees,-21708.83,0.4279,211.342,343,FAIL
P37_CAND_0411,double slippage,-5885.77,0.8067,64.4771,343,FAIL
P37_CAND_0411,triple slippage,-21708.83,0.4279,211.342,343,FAIL
P37_CAND_0411,double fees + double slippage,-21708.83,0.4279,211.342,343,FAIL
P37_CAND_0411,delay 1 candle,2025.75,1.0753,20.9727,343,PASS
P37_CAND_0411,delay 2 candles,-5885.77,0.8067,64.4771,343,FAIL
P37_CAND_0411,missed fills 10%,9243.28,1.4441,8.2527,309,PASS
P37_CAND_0411,missed fills 20%,8396.02,1.4544,9.3248,275,PASS
P37_CAND_0411,missed fills 30%,6840.98,1.4415,7.3034,229,PASS
P37_CAND_0411,stale cancel,6706.11,1.2873,10.0351,326,PASS
P37_CAND_0411,partial fill,9191.99,1.4253,7.4604,343,PASS
P37_CAND_0411,high funding,4968.51,1.1952,13.2603,343,PASS
P37_CAND_0411,combined adverse,-26362.45,0.3025,252.997,309,FAIL
P37_CAND_0362,normal,9901.04,1.3749,12.0157,385,PASS
P37_CAND_0362,double fees,-7959.72,0.7687,87.1976,385,FAIL
P37_CAND_0362,triple fees,-25820.48,0.4001,248.9758,385,FAIL
P37_CAND_0362,double slippage,-7959.72,0.7687,87.1976,385,FAIL
P37_CAND_0362,triple slippage,-25820.48,0.4001,248.9758,385,FAIL
P37_CAND_0362,double fees + double slippage,-25820.48,0.4001,248.9758,385,FAIL
P37_CAND_0362,delay 1 candle,970.66,1.0319,25.5263,385,PASS
P37_CAND_0362,delay 2 candles,-7959.72,0.7687,87.1976,385,FAIL
P37_CAND_0362,missed fills 10%,8126.55,1.3351,11.6622,347,PASS
P37_CAND_0362,missed fills 20%,8071.81,1.3824,9.1982,308,PASS
P37_CAND_0362,missed fills 30%,3281.81,1.1708,14.268,257,PASS
P37_CAND_0362,stale cancel,5309.05,1.1967,13.584,366,PASS
P37_CAND_0362,partial fill,9158.46,1.3749,11.1854,385,PASS
P37_CAND_0362,high funding,5086.4,1.1785,21.5165,385,PASS
P37_CAND_0362,combined adverse,-32084.57,0.2717,312.0155,347,FAIL
P37_CAND_0360,normal,9545.0,1.3493,14.5018,394,PASS
P37_CAND_0360,double fees,-8799.22,0.754,94.8278,394,FAIL
P37_CAND_0360,triple fees,-27143.44,0.3964,257.9071,394,FAIL
P37_CAND_0360,double slippage,-8799.22,0.754,94.8278,394,FAIL
P37_CAND_0360,triple slippage,-27143.44,0.3964,257.9071,394,FAIL
P37_CAND_0360,double fees + double slippage,-27143.44,0.3964,257.9071,394,FAIL
P37_CAND_0360,delay 1 candle,372.89,1.0118,30.5369,394,PASS
P37_CAND_0360,delay 2 candles,-8799.22,0.754,94.8278,394,FAIL
P37_CAND_0360,missed fills 10%,8527.53,1.3456,9.5177,355,PASS
P37_CAND_0360,missed fills 20%,7288.28,1.3294,7.9728,316,PASS
P37_CAND_0360,missed fills 30%,8089.7,1.4699,11.2879,263,PASS
P37_CAND_0360,stale cancel,5232.96,1.1883,15.0247,375,PASS
P37_CAND_0360,partial fill,8829.12,1.3493,13.5259,394,PASS
P37_CAND_0360,high funding,4534.87,1.1539,24.3776,394,PASS
P37_CAND_0360,combined adverse,-32807.22,0.2786,311.734,355,FAIL
P37_CAND_0413,normal,9428.93,1.5168,5.8088,291,PASS
P37_CAND_0413,double fees,-3888.88,0.837,46.3896,291,FAIL
P37_CAND_0413,triple fees,-17206.68,0.4229,170.3744,291,FAIL
P37_CAND_0413,double slippage,-3888.88,0.837,46.3896,291,FAIL
P37_CAND_0413,triple slippage,-17206.68,0.4229,170.3744,291,FAIL
P37_CAND_0413,double fees + double slippage,-17206.68,0.4229,170.3744,291,FAIL
P37_CAND_0413,delay 1 candle,2770.03,1.1317,14.6274,291,PASS
P37_CAND_0413,delay 2 candles,-3888.88,0.837,46.3896,291,FAIL
P37_CAND_0413,missed fills 10%,8686.9,1.5296,6.1795,262,PASS
P37_CAND_0413,missed fills 20%,8238.2,1.5759,7.1457,233,PASS
P37_CAND_0413,missed fills 30%,4467.43,1.343,8.2907,194,PASS
P37_CAND_0413,stale cancel,5872.45,1.313,7.8344,277,PASS
P37_CAND_0413,partial fill,8721.76,1.5168,5.5465,291,PASS
P37_CAND_0413,high funding,5836.16,1.293,8.0586,291,PASS
P37_CAND_0413,combined adverse,-21279.45,0.2911,209.6884,262,FAIL
