system,scenario,net_pnl,profit_factor,max_drawdown_pct,trades,verdict
P37_CAND_0357,normal,11231.08,1.3862,9.3716,404,PASS
P37_CAND_0357,double fees,-7410.24,0.8016,82.7254,404,FAIL
P37_CAND_0357,triple fees,-26051.55,0.4349,255.6386,404,FAIL
P37_CAND_0357,double slippage,-7410.24,0.8016,82.7254,404,FAIL
P37_CAND_0357,triple slippage,-26051.55,0.4349,255.6386,404,FAIL
P37_CAND_0357,double fees + double slippage,-26051.55,0.4349,255.6386,404,FAIL
P37_CAND_0357,delay 1 candle,1910.42,1.0575,25.4639,404,PASS
P37_CAND_0357,delay 2 candles,-7410.24,0.8016,82.7254,404,FAIL
P37_CAND_0357,missed fills 10%,8567.77,1.3189,11.3972,364,PASS
P37_CAND_0357,missed fills 20%,6443.37,1.2631,13.2004,324,PASS
P37_CAND_0357,missed fills 30%,12752.06,1.7397,6.9525,270,PASS
P37_CAND_0357,stale cancel,7122.22,1.2434,12.0733,384,PASS
P37_CAND_0357,partial fill,10388.75,1.3862,9.0037,404,PASS
P37_CAND_0357,high funding,5051.47,1.1599,20.6446,404,PASS
P37_CAND_0357,combined adverse,-33384.48,0.3001,333.9922,364,FAIL
P37_CAND_0361,normal,11079.4,1.4104,12.0157,386,PASS
P37_CAND_0361,double fees,-6901.24,0.8026,78.3321,386,FAIL
P37_CAND_0361,triple fees,-24881.89,0.4281,240.1374,386,FAIL
P37_CAND_0361,double slippage,-6901.24,0.8026,78.3321,386,FAIL
P37_CAND_0361,triple slippage,-24881.89,0.4281,240.1374,386,FAIL
P37_CAND_0361,double fees + double slippage,-24881.89,0.4281,240.1374,386,FAIL
P37_CAND_0361,delay 1 candle,2089.08,1.0674,22.2995,386,PASS
P37_CAND_0361,delay 2 candles,-6901.24,0.8026,78.3321,386,FAIL
P37_CAND_0361,missed fills 10%,9690.27,1.3948,11.6622,348,PASS
P37_CAND_0361,missed fills 20%,9670.3,1.4529,9.1982,309,PASS
P37_CAND_0361,missed fills 30%,5161.35,1.2689,14.268,258,PASS
