strategy,pnl,trades,pf,dd,months_pos_neg_zero,stress_pnl,status
Precision Fusion 1.2,21684.986096939287,325,2.4184289669893126,0.10865101101285742,56/16/6,15922.970046540086,Quality Champion
Precision Fusion 7.0,29386.59,625,2.28,0.115,62/13/3,18250.4,Growth Benchmark
