month,pnl,trades,winners,losers,win_rate,profit_factor,gross_profit,gross_loss,fees,slippage,funding,status
2020-01,140.84666230427692,1,1,0,1.0,0.0,140.84666230427692,0.0,4.83263323346028,4.848055530695108,-11.598162458299198,positive
2020-02,-271.3055458313088,2,0,2,0.0,0.0,0.0,-271.3055458313088,10.008664554630611,9.985867819795345,50.106479568119205,negative
2020-03,347.2015531702462,8,5,3,0.625,2.1038453233438443,661.739782238862,-314.5382290686157,18.9081454777639,18.87612714182646,3.6740495613887996,positive
2020-04,535.8502799305778,4,4,0,1.0,0.0,535.8502799305778,0.0,19.373970740762385,19.337524277900066,4.267830853428701,positive
2020-05,-350.8566882407804,3,0,3,0.0,0.0,0.0,-350.8566882407804,11.927556948410462,11.909894690526372,8.260142228968,negative
2020-06,-59.03741646738215,1,0,1,0.0,0.0,0.0,-59.03741646738215,2.5832304179031405,2.5765384621339216,1.79002185576,negative
2020-07,67.30673483681359,1,1,0,1.0,0.0,67.30673483681359,0.0,2.267063699268041,2.2747010497929003,0.0,positive
2020-08,-99.3643909382644,1,0,1,0.0,0.0,0.0,-99.3643909382644,2.826019604736004,2.827854477497196,-10.518438138480002,negative
2020-09,162.68093961716957,3,2,1,0.6666666666666666,2.4827212500470712,272.39875718537735,-109.71781756820778,15.227040180171437,15.235421039652028,-10.8877401402139,positive
2020-10,16.55064737013693,2,1,1,0.5,1.1416620676386182,133.38253925214622,-116.83189188200929,10.678042267652248,10.692166613410894,1.7419124166876,positive
2020-11,169.92544749636363,5,3,2,0.6,1.7004998846272725,412.5028571797054,-242.57740968334184,21.861474250654517,21.86453558935929,11.4439001040787,positive
2020-12,-69.59095947454631,5,2,3,0.4,0.7955597380241737,270.8065669323363,-340.39752640688266,20.54368868324838,20.554196562522883,1.4278589131625998,negative
2021-01,222.64799084867974,17,8,9,0.47058823529411764,1.2368905541639128,1162.5250223938951,-939.8770315452156,43.58449289077053,43.574812733872534,14.198636398584402,positive
2021-02,253.0408975542779,6,4,2,0.6666666666666666,2.0241171932984123,500.1228713851241,-247.08197383084615,18.01187639732058,18.01738162773155,20.2779801752533,positive
2021-03,-377.1143923578972,7,2,5,0.2857142857142857,0.36314985558938495,215.04122803048287,-592.15562038838,25.60876425286798,25.604621683128354,3.0895543306702,negative
2021-04,375.82635418059164,5,4,1,0.8,4.429461550242755,485.4139231544991,-109.5875689739075,17.784027999544954,17.791658446971123,4.619988636319401,positive
2021-05,445.2360175584007,12,7,5,0.5833333333333334,1.7246474003634849,1059.6534809137777,-614.417463355377,34.446284515806475,34.44754706633415,8.5577432055913,positive
2021-06,428.9496412416171,10,6,4,0.6,1.8663901345094827,924.0495092525475,-495.09986801093044,38.60782691808927,38.61540903526172,-6.5734003779241,positive
2021-07,-109.09724221474983,3,1,2,0.3333333333333333,0.5850576868574652,153.8242260455246,-262.9214682602744,14.50954786219526,14.516104214302336,5.0368187430735,negative
2021-08,22.618778796991336,2,1,1,0.5,1.1718963046428748,154.20263596008311,-131.58385716309178,9.508929216277135,9.51485811533453,2.8751245410000004,positive
2021-09,63.32159406685881,4,2,2,0.5,1.248487687252572,318.14948822523775,-254.82789415837894,15.729467424399637,15.733082478159314,-1.3689102905330002,positive
2021-10,627.3343430515224,4,4,0,1.0,0.0,627.3343430515224,0.0,19.893102951346695,19.888563416839155,7.1664272709676,positive
2021-11,66.63655530368177,4,2,2,0.5,1.2516346188393657,331.4512918889529,-264.81473658527113,21.86621455292275,21.864989163199766,-17.354802726429,positive
2021-12,27.731963493484102,2,1,1,0.5,1.199194205948679,166.95269715593324,-139.22073366244913,10.606245043256965,10.601130817847356,-1.8340950506724,positive
2022-01,231.20812320304805,5,3,2,0.6,1.8409899066276343,506.13190216989864,-274.9237789668506,20.369964615578947,20.36155741343977,0.4075831401849,positive
2022-02,720.2568341709521,6,5,1,0.8333333333333334,6.110687995960346,861.1883163393542,-140.93148216840208,29.584674904675957,29.57309597273723,-0.37080183863599997,positive
