symbol,timeframe,processed_path,raw_path,listing_date_caveat,exists,earliest_timestamp,latest_timestamp,row_count,missing_candles,duplicate_rows,gaps_detected,funding_nan_count,sha256_processed,sha256_raw,sha256_funding,usable,status,notes
BTCUSDT,1h,data/processed/BTCUSDT_1h_processed.csv,data/raw/BTCUSDT_1h_raw.csv,2020-01-01,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,56953,0,0,0,0,7862e2a9719b73afb9e0bca33ad73b91db943a2ad3edc01e6af1314610ff39fc,3e2cb3576d91c440fef0ade7f435ef2a7219db15a78f3e37d2899e88887c8323,7531e3bbb72b4b432ab40ff822e1397538b846badc7d4d5b3773bb09e2f5a04a,True,PASS,
BTCUSDT,5m,data/processed/BTCUSDT_5m_processed.csv,data/raw/BTCUSDT_5m_raw.csv,2020-01-01,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,683425,0,0,0,0,baaf3f447bd86c0fa6af7c3302dbc5d901332650be15514a2df0b67cad6ae671,18250632a45434bddbaa73e87719714ce145722940ca19c2dbc0dc4ee2f97245,N/A,True,PASS,
ETHUSDT,1h,data/processed/ETHUSDT_1h_processed.csv,data/raw/ETHUSDT_1h_raw.csv,2020-01-01,True,2020-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,56953,0,0,0,0,ea3529b3549a2a03bbe23daa326e2cd70902172a7be8b7ca683ad59434f674ff,ef71f0bde5ecf15eb03ca9693ac9059051cadb2212fd0c0d054ef4f0a92c04e3,b00820031a784b5eb6abf50493bcb865a0e574e3cc80adf728a5c1b61a6e63e8,True,PASS,
ETHUSDT,5m,data/processed/ETHUSDT_5m_processed.csv,data/raw/ETHUSDT_5m_raw.csv,2020-01-01,True,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,52129,0,0,0,0,754ff53b7fb7f7174c56aa712552dc30af31e2e657cb0a0793518c0b55534b06,9c1ae3a03b06dc6a7770c3b4c58e5b1c234517dccfa22bd5b42e4e5fa093673e,N/A,True,PASS,"WARNING: 5m data only from 2026-01-01, not full history"
BNBUSDT,1h,data/processed/BNBUSDT_1h_processed.csv,data/raw/BNBUSDT_1h_raw.csv,2020-02-10,True,2020-02-10T08:00:00+00:00,2026-07-01T00:00:00+00:00,55985,0,0,0,0,dc1d2861426eea0555f5bd8b10b7c1d7fe3e0fa82123151380b89c72a193df2e,734aa2fe8e640cd7e4b9f11a583f11ab24a3a66ed555e0a2f02c301d1bdf9c64,138ee68f8f054ff0b6e4d6ece2c7c4091ee4f821ca86b8346f807624b0efa6c8,True,PASS,BNB listed on USDT-M Futures 2020-02-10; data starts at listing date
BNBUSDT,5m,data/processed/BNBUSDT_5m_processed.csv,data/raw/BNBUSDT_5m_raw.csv,2020-02-10,True,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,52129,0,0,0,0,d95aef3f03465616e80e6c807c126dff667b4f817e5c64fdb6030672f771f6cb,329d641b2ee3f93850bcdfc6ceafe3d84ed6e5bbd388f73da3d4ef12ced6c7c2,N/A,True,PASS,
SOLUSDT,1h,data/processed/SOLUSDT_1h_processed.csv,data/raw/SOLUSDT_1h_raw.csv,2020-09-14,True,2020-09-14T07:00:00+00:00,2026-07-01T00:00:00+00:00,50778,0,0,0,0,8d62ffb82137f1dee46a944ce459be97e1f169d02d6984dfc37f2cc3ea5d076a,56c2831cd32af74043a6dede5999b79fe7d64de8dd59c40c8d53bba5a55850fb,1040a5c4b21327e72b2797bea6655e1ef8e72d5e22a7caef781dd0af5a237a37,True,PASS,SOL listed on USDT-M Futures 2020-09-14; data starts at listing date
SOLUSDT,5m,data/processed/SOLUSDT_5m_processed.csv,data/raw/SOLUSDT_5m_raw.csv,2020-09-14,True,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,52129,0,0,0,0,c28449a0b8f0190c53d6de69cba0fb14861343cb864e99ef9f36cda7c898ac05,74dea08898fa58243ab78baa38d694c85a1e7d7763e7851a610bcab7a8f8246b,N/A,True,PASS,
