metric,pf12,pf70,difference,verdict
PnL,21684.99,29386.59,7701.6,SUPERIOR
Trades,325.0,625.0,300.0,SUPERIOR
Profit Factor,2.42,2.28,-0.14,ACCEPTABLE_DEGRADATION
Max Drawdown,0.1087,0.115,0.0063,ACCEPTABLE_INCREASE
